WIAC Indoor Performance List
60 Meters

18,"Clavijo, Brett",JR-3,Wis.-Oshkosh,6.97,Ripon Winter Open & Multi,"Dec 2, 2022"
18,"Sears, Aden",SO-2,Wis.-Oshkosh,6.97,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
21,"Hughes, Cam",FR-1,Wis.-Whitewater,7.00,WIAC Indoor Championships,"Feb 24, 2023"
22,"Rindt, Carsen",SO-2,Wis.-Whitewater,7.01,Ripon Final Qualifier & Multi,"Mar 3, 2023"
22,"Schroeder, Luke",SO-2,Wis.-La Crosse,7.01,UWL Indoor Eagle Open,"Feb 17, 2023"
24,"Cottrell-Roberson, Terrance",FR-1,Wis.-La Crosse,7.02,Pat Healy Classic,"Jan 21, 2023"
25,"O'Connor, Isaiah",FR-1,Wis.-River Falls,7.03,Gene Glader Classic,"Feb 18, 2023"
26,"Brantley, Jamyle",SR-4,Wis.-Oshkosh,7.05,Midwest ELITE Invitational,"Feb 11, 2023"
Distance Medley Relay

1,"Blaskowski, Sam",SO-2,Wis.-La Crosse,6.65,WIAC Indoor Championships,"Feb 24, 2023"
2,"Willems, Davian",SO-2,Wis.-Oshkosh,6.72,Ripon Winter Open & Multi,"Dec 2, 2022"
3,"Smith, Ryder",FR-1,Wis.-La Crosse,6.80,Wartburg Qualifier,"Mar 3, 2023"
4,"Cullison, Keegan",SO-2,Wis.-Oshkosh,6.81,WIAC Indoor Championships,"Feb 24, 2023"
5,"Klechefski, Stefan",JR-3,Wis.-Eau Claire,6.82,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
6,"Grant, Jaylen",SR-4,Wis.-Oshkosh,6.83,Ripon Final Qualifier & Multi,"Mar 3, 2023"
7,"Reichart, Spencer",JR-3,Wis.-La Crosse,6.84,Mark Guthrie Legacy Invitational,"Feb 4, 2023"
8,"Williams, Ja'siah",FR-1,Wis.-Oshkosh,6.87,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
9,"Little, Londyn",SO-2,Wis.-Oshkosh,6.89,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
10,"Thomas, Denzel",SR-4,Wis.-Oshkosh,6.90,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
11,"Stewart, Kemarri",SO-2,Wis.-River Falls,6.91,Ice Breaker Open & Multi,"Dec 9, 2022"
11,"Kean, Joey",JR-3,Wis.-Oshkosh,6.91,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Boatman, Jaylin",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Kunny, Adam",SO-2,Wis.-Whitewater,6.92,WIAC Indoor Championships,"Feb 24, 2023"
13,"Vinson, Danny",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
16,"McClowry, Colin",SO-2,Wis.-Eau Claire,6.94,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
16,"Richardson, Aaron",SR-4,Wis.-Oshkosh,6.94,Red Hawk Opener,"Jan 21, 2023"
18,"Turner, Derrick",SO-2,Wis.-Platteville,6.97,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
18,"Clavijo, Brett",JR-3,Wis.-Oshkosh,6.97,Ripon Winter Open & Multi,"Dec 2, 2022"
18,"Sears, Aden",SO-2,Wis.-Oshkosh,6.97,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
21,"Hughes, Cam",FR-1,Wis.-Whitewater,7.00,WIAC Indoor Championships,"Feb 24, 2023"
22,"Rindt, Carsen",SO-2,Wis.-Whitewater,7.01,Ripon Final Qualifier & Multi,"Mar 3, 2023"
22,"Schroeder, Luke",SO-2,Wis.-La Crosse,7.01,UWL Indoor Eagle Open,"Feb 17, 2023"
24,"Cottrell-Roberson, Terrance",FR-1,Wis.-La Crosse,7.02,Pat Healy Classic,"Jan 21, 2023"
25,"O'Connor, Isaiah",FR-1,Wis.-River Falls,7.03,Gene Glader Classic,"Feb 18, 2023"
26,"Brantley, Jamyle",SR-4,Wis.-Oshkosh,7.05,Midwest ELITE Invitational,"Feb 11, 2023"
High Jump

1,"Blaskowski, Sam",SO-2,Wis.-La Crosse,6.65,WIAC Indoor Championships,"Feb 24, 2023"
2,"Willems, Davian",SO-2,Wis.-Oshkosh,6.72,Ripon Winter Open & Multi,"Dec 2, 2022"
3,"Smith, Ryder",FR-1,Wis.-La Crosse,6.80,Wartburg Qualifier,"Mar 3, 2023"
4,"Cullison, Keegan",SO-2,Wis.-Oshkosh,6.81,WIAC Indoor Championships,"Feb 24, 2023"
5,"Klechefski, Stefan",JR-3,Wis.-Eau Claire,6.82,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
6,"Grant, Jaylen",SR-4,Wis.-Oshkosh,6.83,Ripon Final Qualifier & Multi,"Mar 3, 2023"
7,"Reichart, Spencer",JR-3,Wis.-La Crosse,6.84,Mark Guthrie Legacy Invitational,"Feb 4, 2023"
8,"Williams, Ja'siah",FR-1,Wis.-Oshkosh,6.87,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
9,"Little, Londyn",SO-2,Wis.-Oshkosh,6.89,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
10,"Thomas, Denzel",SR-4,Wis.-Oshkosh,6.90,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
11,"Stewart, Kemarri",SO-2,Wis.-River Falls,6.91,Ice Breaker Open & Multi,"Dec 9, 2022"
11,"Kean, Joey",JR-3,Wis.-Oshkosh,6.91,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Boatman, Jaylin",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Kunny, Adam",SO-2,Wis.-Whitewater,6.92,WIAC Indoor Championships,"Feb 24, 2023"
13,"Vinson, Danny",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
16,"McClowry, Colin",SO-2,Wis.-Eau Claire,6.94,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
16,"Richardson, Aaron",SR-4,Wis.-Oshkosh,6.94,Red Hawk Opener,"Jan 21, 2023"
18,"Turner, Derrick",SO-2,Wis.-Platteville,6.97,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
18,"Clavijo, Brett",JR-3,Wis.-Oshkosh,6.97,Ripon Winter Open & Multi,"Dec 2, 2022"
18,"Sears, Aden",SO-2,Wis.-Oshkosh,6.97,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
21,"Hughes, Cam",FR-1,Wis.-Whitewater,7.00,WIAC Indoor Championships,"Feb 24, 2023"
22,"Rindt, Carsen",SO-2,Wis.-Whitewater,7.01,Ripon Final Qualifier & Multi,"Mar 3, 2023"
22,"Schroeder, Luke",SO-2,Wis.-La Crosse,7.01,UWL Indoor Eagle Open,"Feb 17, 2023"
24,"Cottrell-Roberson, Terrance",FR-1,Wis.-La Crosse,7.02,Pat Healy Classic,"Jan 21, 2023"
25,"O'Connor, Isaiah",FR-1,Wis.-River Falls,7.03,Gene Glader Classic,"Feb 18, 2023"
26,"Brantley, Jamyle",SR-4,Wis.-Oshkosh,7.05,Midwest ELITE Invitational,"Feb 11, 2023"
Pole Vault

1,"Blaskowski, Sam",SO-2,Wis.-La Crosse,6.65,WIAC Indoor Championships,"Feb 24, 2023"
2,"Willems, Davian",SO-2,Wis.-Oshkosh,6.72,Ripon Winter Open & Multi,"Dec 2, 2022"
3,"Smith, Ryder",FR-1,Wis.-La Crosse,6.80,Wartburg Qualifier,"Mar 3, 2023"
4,"Cullison, Keegan",SO-2,Wis.-Oshkosh,6.81,WIAC Indoor Championships,"Feb 24, 2023"
5,"Klechefski, Stefan",JR-3,Wis.-Eau Claire,6.82,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
6,"Grant, Jaylen",SR-4,Wis.-Oshkosh,6.83,Ripon Final Qualifier & Multi,"Mar 3, 2023"
7,"Reichart, Spencer",JR-3,Wis.-La Crosse,6.84,Mark Guthrie Legacy Invitational,"Feb 4, 2023"
8,"Williams, Ja'siah",FR-1,Wis.-Oshkosh,6.87,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
9,"Little, Londyn",SO-2,Wis.-Oshkosh,6.89,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
10,"Thomas, Denzel",SR-4,Wis.-Oshkosh,6.90,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
11,"Stewart, Kemarri",SO-2,Wis.-River Falls,6.91,Ice Breaker Open & Multi,"Dec 9, 2022"
11,"Kean, Joey",JR-3,Wis.-Oshkosh,6.91,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Boatman, Jaylin",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Kunny, Adam",SO-2,Wis.-Whitewater,6.92,WIAC Indoor Championships,"Feb 24, 2023"
13,"Vinson, Danny",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
16,"McClowry, Colin",SO-2,Wis.-Eau Claire,6.94,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
16,"Richardson, Aaron",SR-4,Wis.-Oshkosh,6.94,Red Hawk Opener,"Jan 21, 2023"
18,"Turner, Derrick",SO-2,Wis.-Platteville,6.97,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
18,"Clavijo, Brett",JR-3,Wis.-Oshkosh,6.97,Ripon Winter Open & Multi,"Dec 2, 2022"
18,"Sears, Aden",SO-2,Wis.-Oshkosh,6.97,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
21,"Hughes, Cam",FR-1,Wis.-Whitewater,7.00,WIAC Indoor Championships,"Feb 24, 2023"
22,"Rindt, Carsen",SO-2,Wis.-Whitewater,7.01,Ripon Final Qualifier & Multi,"Mar 3, 2023"
22,"Schroeder, Luke",SO-2,Wis.-La Crosse,7.01,UWL Indoor Eagle Open,"Feb 17, 2023"
24,"Cottrell-Roberson, Terrance",FR-1,Wis.-La Crosse,7.02,Pat Healy Classic,"Jan 21, 2023"
25,"O'Connor, Isaiah",FR-1,Wis.-River Falls,7.03,Gene Glader Classic,"Feb 18, 2023"
26,"Brantley, Jamyle",SR-4,Wis.-Oshkosh,7.05,Midwest ELITE Invitational,"Feb 11, 2023"
Long Jump

1,"Blaskowski, Sam",SO-2,Wis.-La Crosse,6.65,WIAC Indoor Championships,"Feb 24, 2023"
2,"Willems, Davian",SO-2,Wis.-Oshkosh,6.72,Ripon Winter Open & Multi,"Dec 2, 2022"
3,"Smith, Ryder",FR-1,Wis.-La Crosse,6.80,Wartburg Qualifier,"Mar 3, 2023"
4,"Cullison, Keegan",SO-2,Wis.-Oshkosh,6.81,WIAC Indoor Championships,"Feb 24, 2023"
5,"Klechefski, Stefan",JR-3,Wis.-Eau Claire,6.82,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
6,"Grant, Jaylen",SR-4,Wis.-Oshkosh,6.83,Ripon Final Qualifier & Multi,"Mar 3, 2023"
7,"Reichart, Spencer",JR-3,Wis.-La Crosse,6.84,Mark Guthrie Legacy Invitational,"Feb 4, 2023"
8,"Williams, Ja'siah",FR-1,Wis.-Oshkosh,6.87,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
9,"Little, Londyn",SO-2,Wis.-Oshkosh,6.89,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
10,"Thomas, Denzel",SR-4,Wis.-Oshkosh,6.90,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
11,"Stewart, Kemarri",SO-2,Wis.-River Falls,6.91,Ice Breaker Open & Multi,"Dec 9, 2022"
11,"Kean, Joey",JR-3,Wis.-Oshkosh,6.91,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Boatman, Jaylin",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Kunny, Adam",SO-2,Wis.-Whitewater,6.92,WIAC Indoor Championships,"Feb 24, 2023"
13,"Vinson, Danny",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
16,"McClowry, Colin",SO-2,Wis.-Eau Claire,6.94,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
16,"Richardson, Aaron",SR-4,Wis.-Oshkosh,6.94,Red Hawk Opener,"Jan 21, 2023"
18,"Turner, Derrick",SO-2,Wis.-Platteville,6.97,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
18,"Clavijo, Brett",JR-3,Wis.-Oshkosh,6.97,Ripon Winter Open & Multi,"Dec 2, 2022"
18,"Sears, Aden",SO-2,Wis.-Oshkosh,6.97,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
21,"Hughes, Cam",FR-1,Wis.-Whitewater,7.00,WIAC Indoor Championships,"Feb 24, 2023"
22,"Rindt, Carsen",SO-2,Wis.-Whitewater,7.01,Ripon Final Qualifier & Multi,"Mar 3, 2023"
22,"Schroeder, Luke",SO-2,Wis.-La Crosse,7.01,UWL Indoor Eagle Open,"Feb 17, 2023"
24,"Cottrell-Roberson, Terrance",FR-1,Wis.-La Crosse,7.02,Pat Healy Classic,"Jan 21, 2023"
25,"O'Connor, Isaiah",FR-1,Wis.-River Falls,7.03,Gene Glader Classic,"Feb 18, 2023"
26,"Brantley, Jamyle",SR-4,Wis.-Oshkosh,7.05,Midwest ELITE Invitational,"Feb 11, 2023"
Triple Jump

1,"Blaskowski, Sam",SO-2,Wis.-La Crosse,6.65,WIAC Indoor Championships,"Feb 24, 2023"
2,"Willems, Davian",SO-2,Wis.-Oshkosh,6.72,Ripon Winter Open & Multi,"Dec 2, 2022"
3,"Smith, Ryder",FR-1,Wis.-La Crosse,6.80,Wartburg Qualifier,"Mar 3, 2023"
4,"Cullison, Keegan",SO-2,Wis.-Oshkosh,6.81,WIAC Indoor Championships,"Feb 24, 2023"
5,"Klechefski, Stefan",JR-3,Wis.-Eau Claire,6.82,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
6,"Grant, Jaylen",SR-4,Wis.-Oshkosh,6.83,Ripon Final Qualifier & Multi,"Mar 3, 2023"
7,"Reichart, Spencer",JR-3,Wis.-La Crosse,6.84,Mark Guthrie Legacy Invitational,"Feb 4, 2023"
8,"Williams, Ja'siah",FR-1,Wis.-Oshkosh,6.87,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
9,"Little, Londyn",SO-2,Wis.-Oshkosh,6.89,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
10,"Thomas, Denzel",SR-4,Wis.-Oshkosh,6.90,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
11,"Stewart, Kemarri",SO-2,Wis.-River Falls,6.91,Ice Breaker Open & Multi,"Dec 9, 2022"
11,"Kean, Joey",JR-3,Wis.-Oshkosh,6.91,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Boatman, Jaylin",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Kunny, Adam",SO-2,Wis.-Whitewater,6.92,WIAC Indoor Championships,"Feb 24, 2023"
13,"Vinson, Danny",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
16,"McClowry, Colin",SO-2,Wis.-Eau Claire,6.94,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
16,"Richardson, Aaron",SR-4,Wis.-Oshkosh,6.94,Red Hawk Opener,"Jan 21, 2023"
18,"Turner, Derrick",SO-2,Wis.-Platteville,6.97,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
18,"Clavijo, Brett",JR-3,Wis.-Oshkosh,6.97,Ripon Winter Open & Multi,"Dec 2, 2022"
18,"Sears, Aden",SO-2,Wis.-Oshkosh,6.97,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
21,"Hughes, Cam",FR-1,Wis.-Whitewater,7.00,WIAC Indoor Championships,"Feb 24, 2023"
22,"Rindt, Carsen",SO-2,Wis.-Whitewater,7.01,Ripon Final Qualifier & Multi,"Mar 3, 2023"
22,"Schroeder, Luke",SO-2,Wis.-La Crosse,7.01,UWL Indoor Eagle Open,"Feb 17, 2023"
24,"Cottrell-Roberson, Terrance",FR-1,Wis.-La Crosse,7.02,Pat Healy Classic,"Jan 21, 2023"
25,"O'Connor, Isaiah",FR-1,Wis.-River Falls,7.03,Gene Glader Classic,"Feb 18, 2023"
26,"Brantley, Jamyle",SR-4,Wis.-Oshkosh,7.05,Midwest ELITE Invitational,"Feb 11, 2023"
Shot Put

1,"Blaskowski, Sam",SO-2,Wis.-La Crosse,6.65,WIAC Indoor Championships,"Feb 24, 2023"
2,"Willems, Davian",SO-2,Wis.-Oshkosh,6.72,Ripon Winter Open & Multi,"Dec 2, 2022"
3,"Smith, Ryder",FR-1,Wis.-La Crosse,6.80,Wartburg Qualifier,"Mar 3, 2023"
4,"Cullison, Keegan",SO-2,Wis.-Oshkosh,6.81,WIAC Indoor Championships,"Feb 24, 2023"
5,"Klechefski, Stefan",JR-3,Wis.-Eau Claire,6.82,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
6,"Grant, Jaylen",SR-4,Wis.-Oshkosh,6.83,Ripon Final Qualifier & Multi,"Mar 3, 2023"
7,"Reichart, Spencer",JR-3,Wis.-La Crosse,6.84,Mark Guthrie Legacy Invitational,"Feb 4, 2023"
8,"Williams, Ja'siah",FR-1,Wis.-Oshkosh,6.87,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
9,"Little, Londyn",SO-2,Wis.-Oshkosh,6.89,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
10,"Thomas, Denzel",SR-4,Wis.-Oshkosh,6.90,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
11,"Stewart, Kemarri",SO-2,Wis.-River Falls,6.91,Ice Breaker Open & Multi,"Dec 9, 2022"
11,"Kean, Joey",JR-3,Wis.-Oshkosh,6.91,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Boatman, Jaylin",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Kunny, Adam",SO-2,Wis.-Whitewater,6.92,WIAC Indoor Championships,"Feb 24, 2023"
13,"Vinson, Danny",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
16,"McClowry, Colin",SO-2,Wis.-Eau Claire,6.94,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
16,"Richardson, Aaron",SR-4,Wis.-Oshkosh,6.94,Red Hawk Opener,"Jan 21, 2023"
18,"Turner, Derrick",SO-2,Wis.-Platteville,6.97,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
18,"Clavijo, Brett",JR-3,Wis.-Oshkosh,6.97,Ripon Winter Open & Multi,"Dec 2, 2022"
18,"Sears, Aden",SO-2,Wis.-Oshkosh,6.97,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
21,"Hughes, Cam",FR-1,Wis.-Whitewater,7.00,WIAC Indoor Championships,"Feb 24, 2023"
22,"Rindt, Carsen",SO-2,Wis.-Whitewater,7.01,Ripon Final Qualifier & Multi,"Mar 3, 2023"
22,"Schroeder, Luke",SO-2,Wis.-La Crosse,7.01,UWL Indoor Eagle Open,"Feb 17, 2023"
24,"Cottrell-Roberson, Terrance",FR-1,Wis.-La Crosse,7.02,Pat Healy Classic,"Jan 21, 2023"
25,"O'Connor, Isaiah",FR-1,Wis.-River Falls,7.03,Gene Glader Classic,"Feb 18, 2023"
26,"Brantley, Jamyle",SR-4,Wis.-Oshkosh,7.05,Midwest ELITE Invitational,"Feb 11, 2023"
Weight Throw

1,"Blaskowski, Sam",SO-2,Wis.-La Crosse,6.65,WIAC Indoor Championships,"Feb 24, 2023"
2,"Willems, Davian",SO-2,Wis.-Oshkosh,6.72,Ripon Winter Open & Multi,"Dec 2, 2022"
3,"Smith, Ryder",FR-1,Wis.-La Crosse,6.80,Wartburg Qualifier,"Mar 3, 2023"
4,"Cullison, Keegan",SO-2,Wis.-Oshkosh,6.81,WIAC Indoor Championships,"Feb 24, 2023"
5,"Klechefski, Stefan",JR-3,Wis.-Eau Claire,6.82,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
6,"Grant, Jaylen",SR-4,Wis.-Oshkosh,6.83,Ripon Final Qualifier & Multi,"Mar 3, 2023"
7,"Reichart, Spencer",JR-3,Wis.-La Crosse,6.84,Mark Guthrie Legacy Invitational,"Feb 4, 2023"
8,"Williams, Ja'siah",FR-1,Wis.-Oshkosh,6.87,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
9,"Little, Londyn",SO-2,Wis.-Oshkosh,6.89,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
10,"Thomas, Denzel",SR-4,Wis.-Oshkosh,6.90,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
11,"Stewart, Kemarri",SO-2,Wis.-River Falls,6.91,Ice Breaker Open & Multi,"Dec 9, 2022"
11,"Kean, Joey",JR-3,Wis.-Oshkosh,6.91,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Boatman, Jaylin",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Kunny, Adam",SO-2,Wis.-Whitewater,6.92,WIAC Indoor Championships,"Feb 24, 2023"
13,"Vinson, Danny",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
16,"McClowry, Colin",SO-2,Wis.-Eau Claire,6.94,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
16,"Richardson, Aaron",SR-4,Wis.-Oshkosh,6.94,Red Hawk Opener,"Jan 21, 2023"
18,"Turner, Derrick",SO-2,Wis.-Platteville,6.97,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
18,"Clavijo, Brett",JR-3,Wis.-Oshkosh,6.97,Ripon Winter Open & Multi,"Dec 2, 2022"
18,"Sears, Aden",SO-2,Wis.-Oshkosh,6.97,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
21,"Hughes, Cam",FR-1,Wis.-Whitewater,7.00,WIAC Indoor Championships,"Feb 24, 2023"
22,"Rindt, Carsen",SO-2,Wis.-Whitewater,7.01,Ripon Final Qualifier & Multi,"Mar 3, 2023"
22,"Schroeder, Luke",SO-2,Wis.-La Crosse,7.01,UWL Indoor Eagle Open,"Feb 17, 2023"
24,"Cottrell-Roberson, Terrance",FR-1,Wis.-La Crosse,7.02,Pat Healy Classic,"Jan 21, 2023"
25,"O'Connor, Isaiah",FR-1,Wis.-River Falls,7.03,Gene Glader Classic,"Feb 18, 2023"
26,"Brantley, Jamyle",SR-4,Wis.-Oshkosh,7.05,Midwest ELITE Invitational,"Feb 11, 2023"
Heptathlon

1,"Blaskowski, Sam",SO-2,Wis.-La Crosse,6.65,WIAC Indoor Championships,"Feb 24, 2023"
2,"Willems, Davian",SO-2,Wis.-Oshkosh,6.72,Ripon Winter Open & Multi,"Dec 2, 2022"
3,"Smith, Ryder",FR-1,Wis.-La Crosse,6.80,Wartburg Qualifier,"Mar 3, 2023"
4,"Cullison, Keegan",SO-2,Wis.-Oshkosh,6.81,WIAC Indoor Championships,"Feb 24, 2023"
5,"Klechefski, Stefan",JR-3,Wis.-Eau Claire,6.82,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
6,"Grant, Jaylen",SR-4,Wis.-Oshkosh,6.83,Ripon Final Qualifier & Multi,"Mar 3, 2023"
7,"Reichart, Spencer",JR-3,Wis.-La Crosse,6.84,Mark Guthrie Legacy Invitational,"Feb 4, 2023"
8,"Williams, Ja'siah",FR-1,Wis.-Oshkosh,6.87,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
9,"Little, Londyn",SO-2,Wis.-Oshkosh,6.89,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
10,"Thomas, Denzel",SR-4,Wis.-Oshkosh,6.90,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
11,"Stewart, Kemarri",SO-2,Wis.-River Falls,6.91,Ice Breaker Open & Multi,"Dec 9, 2022"
11,"Kean, Joey",JR-3,Wis.-Oshkosh,6.91,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Boatman, Jaylin",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Titan Challenge',"Feb 18, 2023"
13,"Kunny, Adam",SO-2,Wis.-Whitewater,6.92,WIAC Indoor Championships,"Feb 24, 2023"
13,"Vinson, Danny",JR-3,Wis.-Oshkosh,6.92,UW-Oshkosh 'Early Bird' Invite,"Dec 10, 2022"
16,"McClowry, Colin",SO-2,Wis.-Eau Claire,6.94,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
16,"Richardson, Aaron",SR-4,Wis.-Oshkosh,6.94,Red Hawk Opener,"Jan 21, 2023"
18,"Turner, Derrick",SO-2,Wis.-Platteville,6.97,UW-P / UW-EC / UW-SP Triangular,"Jan 21, 2023"
18,"Clavijo, Brett",JR-3,Wis.-Oshkosh,6.97,Ripon Winter Open & Multi,"Dec 2, 2022"
18,"Sears, Aden",SO-2,Wis.-Oshkosh,6.97,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
21,"Hughes, Cam",FR-1,Wis.-Whitewater,7.00,WIAC Indoor Championships,"Feb 24, 2023"
22,"Rindt, Carsen",SO-2,Wis.-Whitewater,7.01,Ripon Final Qualifier & Multi,"Mar 3, 2023"
22,"Schroeder, Luke",SO-2,Wis.-La Crosse,7.01,UWL Indoor Eagle Open,"Feb 17, 2023"
24,"Cottrell-Roberson, Terrance",FR-1,Wis.-La Crosse,7.02,Pat Healy Classic,"Jan 21, 2023"
25,"O'Connor, Isaiah",FR-1,Wis.-River Falls,7.03,Gene Glader Classic,"Feb 18, 2023"
26,"Brantley, Jamyle",SR-4,Wis.-Oshkosh,7.05,Midwest ELITE Invitational,"Feb 11, 2023"
